学生ID,年级,学院,课后首选去向,周均图书馆时长,月均食堂消费
S0552,大二,商学院,体育馆,7.2,1345.0
S0553,大一,商学院,体育馆,3.1,1687.0
S0554,大二,商学院,体育馆,17.3,1270.0
S0555,大二,商学院,体育馆,13.9,1990.0
S0556,大三,商学院,图书馆,8.4,979.0
S0557,大二,商学院,体育馆,10.9,1617.0
S0558,大二,商学院,宿舍,11.1,922.0
S0559,大一,商学院,饭堂,12.2,1526.0
S0560,大四,商学院,图书馆,11.3,994.0
S0561,大二,商学院,宿舍,3.8,1252.0
S0562,大一,商学院,体育馆,7.9,1844.0
S0563,大二,商学院,体育馆,13.7,1556.0
S0564,大四,商学院,图书馆,11.8,1129.0
S0565,大二,商学院,宿舍,9.3,970.0
S0566,大四,商学院,图书馆,12.1,500.0
S0567,大三,商学院,体育馆,9.9,1403.0
S0568,大三,商学院,体育馆,7.3,1602.0
S0569,大一,商学院,体育馆,7.8,1716.0
S0570,大一,商学院,宿舍,13.3,1103.0
S0571,大一,商学院,体育馆,12.5,1629.0
S0572,大三,商学院,图书馆,12.8,1151.0
S0573,大三,商学院,体育馆,11.2,1768.0
S0574,大一,商学院,体育馆,9.4,1314.0
S0575,大二,商学院,体育馆,7.2,1423.0
S0576,大三,商学院,体育馆,3.4,1553.0
S0577,大一,商学院,体育馆,12.3,1734.0
S0578,大一,商学院,体育馆,4.4,1309.0
S0579,大一,商学院,体育馆,12.9,1452.0
S0580,大二,商学院,体育馆,12.2,1190.0
S0581,大四,商学院,图书馆,14.8,738.0
S0582,大一,商学院,宿舍,1.0,1037.0
S0583,大二,商学院,饭堂,10.7,1502.0
S0584,大一,商学院,饭堂,11.7,1701.0
S0585,大二,商学院,体育馆,11.4,1373.0
S0586,大一,商学院,体育馆,7.6,1398.0
S0587,大三,商学院,图书馆,7.1,1224.0
S0588,大一,商学院,体育馆,8.9,1539.0
S0589,大三,商学院,图书馆,12.9,827.0
S0590,大二,商学院,体育馆,5.3,1295.0
S0591,大三,商学院,图书馆,10.9,1039.0
S0592,大二,商学院,宿舍,11.4,979.0
S0593,大一,商学院,饭堂,1.5,1573.0
S0594,大三,商学院,体育馆,13.4,1809.0
S0595,大四,商学院,体育馆,10.3,1549.0
S0596,大一,商学院,体育馆,12.2,1801.0
S0597,大一,商学院,体育馆,10.0,1650.0
S0598,大二,商学院,体育馆,8.1,1195.0
S0599,大二,商学院,体育馆,8.4,1863.0
S0600,大三,商学院,体育馆,12.2,1215.0
S0601,大二,达芬奇学院,饭堂,5.7,1386.0
S0602,大三,达芬奇学院,工作室,4.5,1029.0
S0603,大三,达芬奇学院,工作室,1.3,1793.0
S0604,大三,达芬奇学院,工作室,2.6,1481.0
S0605,大二,达芬奇学院,工作室,3.4,999.0
S0606,大一,达芬奇学院,饭堂,2.8,1401.0
S0607,大二,达芬奇学院,工作室,22.9,1535.0
S0608,大一,达芬奇学院,工作室,3.4,1464.0
S0609,大三,达芬奇学院,工作室,5.9,1515.0
S0610,大二,达芬奇学院,饭堂,5.7,1718.0
S0611,大一,达芬奇学院,工作室,3.6,1765.0
S0612,大二,达芬奇学院,工作室,3.8,1315.0
S0613,大三,达芬奇学院,工作室,3.8,1373.0
S0614,大三,达芬奇学院,工作室,1.0,1051.0
S0615,大一,达芬奇学院,工作室,3.1,807.0
S0616,大三,达芬奇学院,工作室,3.4,1369.0
S0617,大四,达芬奇学院,工作室,1.2,1115.0
S0618,大一,达芬奇学院,工作室,9.3,1467.0
S0619,大二,达芬奇学院,工作室,4.9,1642.0
S0620,大二,达芬奇学院,体育馆,1.7,1186.0
S0621,大四,达芬奇学院,工作室,7.3,1277.0
S0622,大三,达芬奇学院,工作室,1.7,1927.0
S0623,大一,达芬奇学院,饭堂,1.0,1637.0
S0624,大二,达芬奇学院,体育馆,2.9,1411.0
S0625,大三,达芬奇学院,工作室,1.0,1760.0
S0626,大一,达芬奇学院,工作室,1.1,1220.0
S0627,大一,达芬奇学院,饭堂,2.4,1718.0
S0628,大四,达芬奇学院,工作室,1.0,1439.0
S0629,大二,达芬奇学院,体育馆,3.9,1335.0
S0630,大四,达芬奇学院,工作室,4.7,1306.0
S0631,大三,达芬奇学院,工作室,14.1,1243.0
S0632,大一,达芬奇学院,体育馆,1.5,1618.0
S0633,大二,达芬奇学院,体育馆,2.6,1500.0
S0634,大一,达芬奇学院,工作室,1.2,1481.0
S0635,大二,达芬奇学院,饭堂,2.3,1653.0
S0636,大二,达芬奇学院,工作室,17.8,1226.0
S0637,大一,达芬奇学院,工作室,6.0,1246.0
S0638,大四,达芬奇学院,工作室,2.0,1696.0
S0639,大二,达芬奇学院,体育馆,1.0,1752.0
S0640,大三,达芬奇学院,工作室,1.0,1568.0
S0641,大三,达芬奇学院,工作室,3.4,1014.0
S0642,大一,达芬奇学院,工作室,2.4,1506.0
S0643,大四,达芬奇学院,工作室,16.1,831.0
S0644,大二,达芬奇学院,体育馆,1.6,1167.0
S0645,大四,达芬奇学院,宿舍,2.9,1184.0
S0646,大三,达芬奇学院,工作室,1.0,1296.0
S0647,大二,达芬奇学院,工作室,6.7,1174.0
S0648,大一,达芬奇学院,工作室,1.0,1360.0
S0649,大三,达芬奇学院,工作室,8.9,979.0
S0650,大三,达芬奇学院,工作室,1.0,1396.0
S0651,大二,达芬奇学院,工作室,4.4,1154.0
S0652,大一,达芬奇学院,工作室,1.9,1310.0
S0653,大四,达芬奇学院,工作室,1.4,974.0
S0654,大一,达芬奇学院,工作室,5.7,955.0
S0655,大三,达芬奇学院,工作室,1.0,1097.0
S0656,大二,达芬奇学院,体育馆,2.3,1616.0
S0657,大二,达芬奇学院,饭堂,2.1,1884.0
S0658,大二,达芬奇学院,体育馆,3.6,1298.0
S0659,大三,达芬奇学院,工作室,4.6,1720.0
S0660,大四,达芬奇学院,工作室,5.6,849.0
S0661,大一,达芬奇学院,体育馆,2.4,1563.0
S0662,大二,达芬奇学院,体育馆,5.4,1454.0
S0663,大三,达芬奇学院,工作室,2.6,1839.0
S0664,大四,达芬奇学院,工作室,5.7,1426.0
S0665,大一,达芬奇学院,饭堂,2.1,1380.0
S0666,大二,达芬奇学院,饭堂,4.7,1756.0
S0667,大三,达芬奇学院,工作室,3.3,1501.0
S0668,大二,达芬奇学院,工作室,5.8,1555.0
S0669,大二,达芬奇学院,工作室,1.0,1193.0
S0670,大三,达芬奇学院,工作室,5.0,1315.0
S0671,大一,达芬奇学院,体育馆,5.8,1605.0
S0672,大一,达芬奇学院,饭堂,1.0,1819.0
S0673,大一,达芬奇学院,饭堂,2.3,1427.0
S0674,大一,达芬奇学院,饭堂,7.8,1723.0
S0675,大一,达芬奇学院,体育馆,8.8,1565.0
S0676,大四,达芬奇学院,工作室,2.5,1343.0
S0677,大二,达芬奇学院,工作室,1.5,894.0
S0678,大三,达芬奇学院,工作室,2.0,1760.0
S0679,大一,达芬奇学院,体育馆,2.2,1073.0
S0680,大三,达芬奇学院,工作室,2.9,1136.0
S0681,大四,达芬奇学院,工作室,8.1,1735.0
S0682,大一,达芬奇学院,工作室,2.4,1378.0
S0683,大一,达芬奇学院,工作室,4.4,1285.0
S0684,大一,达芬奇学院,体育馆,2.8,1269.0
S0685,大三,达芬奇学院,工作室,1.0,1021.0
S0686,大二,达芬奇学院,工作室,3.1,865.0
S0687,大一,达芬奇学院,工作室,3.9,1321.0
S0688,大三,达芬奇学院,工作室,2.1,1219.0
S0689,大二,达芬奇学院,体育馆,1.2,1707.0
S0690,大一,达芬奇学院,饭堂,6.4,1370.0
S0691,大三,达芬奇学院,工作室,1.4,1025.0
S0692,大二,达芬奇学院,饭堂,5.2,1668.0
S0693,大一,达芬奇学院,体育馆,7.7,1792.0
S0694,大二,达芬奇学院,工作室,1.0,1454.0
S0695,大二,达芬奇学院,饭堂,8.2,1533.0
S0696,大一,达芬奇学院,体育馆,3.3,1456.0
S0697,大一,达芬奇学院,体育馆,3.0,1707.0
S0698,大一,达芬奇学院,工作室,13.5,1714.0
S0699,大三,达芬奇学院,工作室,2.2,1379.0
S0700,大一,达芬奇学院,饭堂,1.8,1462.0
S0701,大一,达芬奇学院,工作室,3.1,1085.0
S0702,大三,达芬奇学院,工作室,2.1,1372.0
S0703,大四,达芬奇学院,工作室,5.0,1442.0
S0704,大四,达芬奇学院,工作室,4.9,929.0
S0705,大三,达芬奇学院,工作室,1.8,1311.0
S0706,大二,达芬奇学院,饭堂,7.8,2073.0
S0707,大一,达芬奇学院,工作室,4.2,1516.0
S0708,大三,达芬奇学院,工作室,1.1,1508.0
S0709,大三,达芬奇学院,工作室,16.3,1070.0
S0710,大四,达芬奇学院,工作室,2.1,1558.0
S0711,大二,达芬奇学院,工作室,3.4,724.0
S0712,大一,达芬奇学院,工作室,2.2,1733.0
S0713,大三,达芬奇学院,工作室,2.7,1216.0
S0714,大一,达芬奇学院,工作室,6.2,1402.0
S0715,大三,达芬奇学院,工作室,2.5,1116.0
S0716,大二,达芬奇学院,工作室,26.0,1673.0
S0717,大二,达芬奇学院,工作室,4.9,1464.0
S0718,大二,达芬奇学院,饭堂,3.0,1666.0
S0719,大二,达芬奇学院,体育馆,2.8,1287.0
S0720,大二,达芬奇学院,体育馆,4.5,1422.0
S0721,大三,达芬奇学院,工作室,4.6,1482.0
S0722,大二,达芬奇学院,体育馆,4.8,1268.0
S0723,大一,达芬奇学院,体育馆,2.4,1426.0
S0724,大一,达芬奇学院,工作室,7.2,1576.0
S0725,大二,达芬奇学院,工作室,1.9,922.0
S0726,大一,达芬奇学院,工作室,23.1,1430.0
S0727,大一,达芬奇学院,工作室,1.1,1131.0
S0728,大一,达芬奇学院,饭堂,7.5,2018.0
S0729,大二,达芬奇学院,工作室,14.8,1417.0
S0730,大三,达芬奇学院,工作室,1.0,1301.0
S0731,大四,达芬奇学院,工作室,1.5,1326.0
S0732,大三,达芬奇学院,工作室,1.6,1178.0
S0733,大三,达芬奇学院,工作室,6.6,1230.0
S0734,大一,达芬奇学院,体育馆,2.6,1487.0
S0735,大三,达芬奇学院,工作室,26.0,966.0
S0736,大三,达芬奇学院,工作室,4.2,1828.0
S0737,大三,达芬奇学院,工作室,3.2,1667.0
S0738,大二,达芬奇学院,体育馆,1.2,1449.0
S0739,大四,达芬奇学院,工作室,1.8,1281.0
S0740,大二,达芬奇学院,饭堂,3.2,1612.0
S0741,大一,达芬奇学院,饭堂,6.5,1151.0
S0742,大四,达芬奇学院,工作室,2.0,1363.0
S0743,大二,达芬奇学院,饭堂,1.0,1724.0
S0744,大一,达芬奇学院,工作室,2.0,1245.0
S0745,大二,达芬奇学院,工作室,6.8,1682.0
S0746,大三,达芬奇学院,工作室,5.6,959.0
S0747,大二,达芬奇学院,工作室,5.4,1501.0
S0748,大二,达芬奇学院,工作室,4.8,1737.0
S0749,大三,达芬奇学院,工作室,3.6,1723.0
S0750,大一,达芬奇学院,体育馆,10.2,1674.0
S0751,大一,达芬奇学院,工作室,4.2,1439.0
S0752,大四,达芬奇学院,工作室,12.9,1621.0
S0753,大四,达芬奇学院,工作室,1.5,1419.0
S0754,大二,达芬奇学院,体育馆,1.7,1337.0
S0755,大二,达芬奇学院,工作室,2.5,878.0
S0756,大四,达芬奇学院,工作室,1.6,1756.0
S0757,大三,达芬奇学院,工作室,2.0,1556.0
S0758,大三,达芬奇学院,工作室,3.8,1466.0
S0759,大二,达芬奇学院,工作室,5.4,1015.0
S0760,大一,达芬奇学院,体育馆,6.5,1192.0
S0761,大三,达芬奇学院,工作室,1.9,1475.0
S0762,大一,达芬奇学院,体育馆,1.5,1009.0
S0763,大一,达芬奇学院,工作室,4.4,831.0
S0764,大一,达芬奇学院,体育馆,5.7,1424.0
S0765,大四,达芬奇学院,工作室,4.3,1395.0
S0766,大一,达芬奇学院,体育馆,6.1,1653.0
S0767,大四,达芬奇学院,宿舍,1.5,951.0
S0768,大一,达芬奇学院,工作室,4.3,1729.0
S0769,大二,达芬奇学院,体育馆,5.5,1832.0
S0770,大三,达芬奇学院,工作室,4.5,1627.0
S0771,大二,达芬奇学院,体育馆,4.1,1761.0
S0772,大二,达芬奇学院,饭堂,2.5,1913.0
S0773,大三,达芬奇学院,工作室,5.0,880.0
S0774,大四,达芬奇学院,宿舍,4.5,580.0
S0775,大一,达芬奇学院,饭堂,5.5,1777.0
S0776,大二,达芬奇学院,工作室,15.9,1148.0
S0777,大三,达芬奇学院,工作室,16.0,1301.0
S0778,大三,达芬奇学院,工作室,1.8,1154.0
S0779,大三,达芬奇学院,工作室,5.2,1036.0
S0780,大二,达芬奇学院,体育馆,2.5,1586.0
S0781,大一,达芬奇学院,体育馆,11.5,1713.0
S0782,大三,达芬奇学院,工作室,3.4,1467.0
S0783,大二,达芬奇学院,工作室,4.0,955.0
S0784,大一,达芬奇学院,饭堂,13.5,1915.0
S0785,大二,达芬奇学院,工作室,3.1,1165.0
S0786,大一,达芬奇学院,体育馆,1.3,1656.0
S0787,大四,达芬奇学院,工作室,5.5,1059.0
S0788,大一,达芬奇学院,饭堂,4.1,1764.0
S0789,大四,达芬奇学院,工作室,2.2,1241.0
S0790,大四,达芬奇学院,工作室,2.8,1076.0
S0791,大一,达芬奇学院,工作室,2.9,835.0
S0792,大一,达芬奇学院,工作室,2.7,1228.0
S0793,大四,达芬奇学院,工作室,3.2,1444.0
S0794,大一,达芬奇学院,体育馆,1.3,1239.0
S0795,大一,达芬奇学院,工作室,1.8,911.0
S0796,大三,达芬奇学院,工作室,5.3,1133.0
S0797,大一,达芬奇学院,工作室,3.2,1045.0
S0798,大二,达芬奇学院,体育馆,2.5,1575.0
S0799,大二,达芬奇学院,体育馆,4.4,1249.0
S0800,大一,达芬奇学院,工作室,3.1,1050.0
